College,Location,State,Program Level,Course / Specialization,Total Fee (INR),Notes,Hostel Fee (INR/year)
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,LLB,LLB,"245,000",Total 3-year,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,LLB,LLB,"350,000",Total 5-year,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,Diploma (Pharmacy),D.Pharm,"120,000",Total 2-year,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,B.Pharm,Pharmacy,"345,000",Total 4-year,
Shri Maruthi Group of Institutions,Bengaluru,Karnataka,B.Pharm,Pharmacy,"545,000",Total 4-year,
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,BBA,Data Analytics,"325,000",Total 3-year,
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,BBA,Entrepreneurship,"295,000",Total 3-year,
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,BBA,Logistics SCM,"295,000",Total 3-year,
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,BBA,Digital Marketing,"295,000",Total 3-year,
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,BBA,Aviation & Hospitality Management,"295,000",Total 3-year,
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,BBA,Hospital Admin,"295,000",Total 3-year,
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,BBA,Data Analytics & Artificial Intelligence,"295,000",Total 3-year,
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,B.Com,Tax,"350,000",Total 3-year,
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,B.Com,Computer Applications + ACCA,"350,000",Total 3-year,
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,B.Com,CMA,"350,000",Total 3-year,
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,B.Com,Aviation & Hospitality,"285,000",Total 3-year,
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,B.Com,Logistics SCM,"285,000",Total 3-year,
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,B.Com,Digital Marketing,"285,000",Total 3-year,
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,B.Com,Data Analytics,"285,000",Total 3-year,
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,B.Com,Hospital Admin,"285,000",Total 3-year,
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,B.Com,Data Analytics & Artificial Intelligence,"295,000",Total 3-year,
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,BCA,Cloud Computing,"330,000",Total 3-year,
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,BCA,Cyber Security,"330,000",Total 3-year,
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,BCA,Data Analytics,"330,000",Total 3-year,
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,BCA,Artificial Intelligence,"330,000",Total 3-year,
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,MBA,Logistics SCM,"295,000",Total 2-year (4 sem),
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,MBA,Digital Marketing,"295,000",Total 2-year (4 sem),
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,MBA,Entrepreneurship,"295,000",Total 2-year (4 sem),
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,MBA,Hospital Administration,"295,000",Total 2-year (4 sem),
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,MCA,Vulnerability Assessment & Penetration Testing,"150,000",Total 2-year (4 sem),
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,MCA,ML & Deep Learning,"150,000",Total 2-year (4 sem),
Yeldo Mar Baselios College (YMBC),Ernakulam,Kerala,MSW,Social Work,"110,000",Total 2-year (4 sem),
Yeldo Mar Baselios College - Media Programmes,Ernakulam,Kerala,BA,Animation & Graphic Design,"225,000",Total 3-year,
Yeldo Mar Baselios College - Media Programmes,Ernakulam,Kerala,BA,Animation & Visual Effects,"225,000",Total 3-year,
Yeldo Mar Baselios College - Media Programmes,Ernakulam,Kerala,BA,Multimedia,"225,000",Total 3-year,
Yeldo Mar Baselios College - Media Programmes,Ernakulam,Kerala,BA,Interior Architecture & Artistry,"210,000",Total 3-year (Rs35k/sem),
Yeldo Mar Baselios College - Media Programmes,Ernakulam,Kerala,B.Sc,Fashion Designing,"192,000",Total 3-year (Rs32k/sem),
Yeldo Mar Baselios College - Media Programmes,Ernakulam,Kerala,MA,MA Graphic Design,"120,000",Total 2-year (Rs30k/sem),
Jain University,Bengaluru,Karnataka,B.Tech,Aeronautical Engineering,"300,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Aerospace Engineering,"325,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Electronics & Communication Engineering,"300,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Electronics & Communication Engineering - VLSI Design & Technology,"300,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Electronics & Communication Engineering - Robotics,"300,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Electrical & Electronics Engineering,"200,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Electrical & Electronics Engineering - Electric VEthical Hackingicles,"200,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Electrical & Electronics Engineering - Microgrid Technologies,"200,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Mechanical Engineering,"215,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Mechanical - Mechatronics,"215,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Mechanical Engineering - Robotics,"215,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Civil Engineering Engineering,"200,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Computer Science & Engineering,"325,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Computer Science Engineering - Artificial Intelligence & Machine Learning,"400,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Computer Science Engineering - Cloud Technology & Information Security (Google),"325,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Computer Science Engineering - Mobile Applications & Cloud Technology (Google),"300,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Computer Science Engineering - Artificial Intelligence & Data Engineering,"400,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Computer Science Engineering - Blockchain Technology,"350,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Computer Science Engineering - Cyber Physical Systems,"350,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Computer Science Engineering - GenArtificial Intelligence (IBM),"350,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Computer Science Engineering in association with PwC,"350,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Computer Science Engineering - Artificial Intelligence-Driven DevOps,"350,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Computer Science & Engineering,"300,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Computer Science Engineering - Artificial Intelligence,"350,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Computer Science Engineering - Cyber Security,"400,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Computer Science Engineering - Data Science,"375,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Information Science & Engineering,"325,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Tech,Computer Science & Business Systems,"375,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,BCA,Artificial Intelligence & Machine Learning,"250,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,BCA,Cloud Technology & Information Security,"215,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,BCA,Cybersecurity (EC-Council),"235,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,BCA,Data Analytics,"215,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,BCA,IoT (Cisco),"215,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,BCA,Mobile Application & Cloud Technology,"215,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,BCA,IT for Healthcare,"195,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,BCA,GenArtificial Intelligence,"195,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,BCA,Generative Artificial Intelligence (GUVI HCL),"205,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Com,Regular & Professional,"200,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Com,Global Professional Qualification,"260,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,BBA,Financial Services,"240,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,BBA,THM,"240,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,BBA,Aviation,"240,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,BBA,International Business,"245,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,BBA,Leadership,"245,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,LLB,LLB,"285,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,MBA,CMS MBA,"650,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,MBA,CMS MBA - Family Business Management,"725,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,MBA,CMS MBA Executive,"350,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Sc,Medical Laboratory Technology,"195,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Sc,Nuclear Medicine Technology,"190,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Sc,Imaging Technology,"195,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Sc,Cardiac Technology,"210,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Sc,Product Design,"435,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Des,Product Design,"435,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Des,Interaction Design,"435,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Sc,Interaction Design,"435,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Des,Communication Design,"435,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Sc,Communication Design,"435,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Des,CD - Animation & VFX,"325,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Sc,CD - Animation & VFX,"325,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Com,Commerce,"325,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,BPES,BPES,"125,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,BPES,Sports Science,"160,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,BPES,Sports Analytics & Technology,"170,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Sc,Forensic Science,"205,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Sc,Psychology,"215,000",,"1,60,000/year"
Jain University,Bengaluru,Karnataka,B.Sc,Data Science & Analytics,"195,000",,"1,60,000/year"
Presidency University,Bengaluru,Karnataka,B.Tech,Computer Science Engineering,"410,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Tech,Computer Science Engineering - Artificial Intelligence & Machine Learning,"400,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Tech,Computer Science Engineering - Data Science,"350,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Tech,Computer Science Engineering - Cyber Security,"335,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Tech,Computer Science Engineering - Blockchain,"250,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Tech,Computer Science Engineering - IoT,"250,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Tech,Information Science & Engineering,"275,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Tech,Artificial Intelligence & Data Science,"300,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Tech,Robotics & Artificial Intelligence,"250,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Tech,Civil Engineering Engineering,"175,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Tech,Electrical & Electronics Engineering,"175,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Tech,Electronics & Communication Engineering,"250,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Tech,Mechanical Engineering,"175,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Tech,Aerospace Engineering,"225,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,M.Tech,Embedded System & VLSI,"90,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,M.Tech,Automotive Technology,"110,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,M.Tech,Data Science,"110,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,M.Tech,Artificial Intelligence,"110,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,MBA,Business Administration ,"400,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,MBA,FinTech,"425,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,MBA,Executive MBA,"225,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,BBA,Business Administration,"170,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,BBA,Hospitality Management,"180,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Com,Commerce ,"140,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Sc,Product Design,"250,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Sc,Communication Design,"250,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Sc,Fashion Design,"250,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Sc,Game Design,"250,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Des,Product Design,"250,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Des,Communication Design,"250,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Des,Fashion Design,"250,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Des,Game Design,"250,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,BCA,Computer Applications,"160,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,MCA,Computer Applications ,"225,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Sc,Artificial Intelligence,"100,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Sc,Data Science,"100,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Sc,Cloud Computing,"100,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Sc,Computer Science,"100,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,BA,Journalism,"100,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,BA,Psychology,"100,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,BA,History,"100,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,BA,BFA,"150,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,LLB,LLB,"165,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,LLB,LLB,"165,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,LLM,LLM,"125,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Sc,Psychology,"100,000",,"1,75,000/year"
Presidency University,Bengaluru,Karnataka,B.Sc,Physiotherapy,"180,000",,"1,75,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Tech,Computer Science Engineering,"475,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Tech,Computer Science Engineering - Artificial Intelligence & Machine Learning,"475,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Tech,Computer Science Engineering - Data Science,"475,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Tech,Computer Science Engineering - Cyber Security,"425,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Tech,Computer Science Engineering - Cloud Computing,"425,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Tech,Computer Science Engineering - Big Data Analytics,"425,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Tech,Artificial Intelligence,"475,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Tech,Aerospace Engineering,"400,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Tech,Biotechnology,"275,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Tech,Mechanical Engineering,"275,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Tech,Electronics & Communication Engineering,"275,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Tech,Civil Engineering Engineering,"275,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Tech,Electrical & Electronics Engineering,"275,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Tech,Nanotechnology,"400,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,M.Tech,Computer Science Engineering,"160,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,M.Tech,Artificial Intelligence,"500,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,M.Tech,Data Science,"500,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,M.Tech,Cyber Security,"500,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,M.Tech,Aerospace Engineering,"160,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,BBA,Business Administration,"180,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,BBA,FinTech,"180,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,BBA,Data Science,"180,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,BBA,Digital Marketing,"180,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,MBA,Business Administration,"450,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,MBA,Financial Services,"575,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Com,Commerce,"125,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Com,Finance & Taxation,"150,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Com,International Accounting,"150,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,BCA,Computer Applications,"125,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,BCA,Generative Artificial Intelligence,"150,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,MCA,Computer Applications,"175,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Sc,Agriculture,"180,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Sc,Horticulture,"120,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Sc,Artificial Intelligence & Machine Learning,"150,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Sc,Psychology,"125,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Sc,Biotechnology,"125,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,LLB,LLB,"250,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,BBA,LLB,"250,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Com,LLB,"250,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,LLM,Corporate Law,"120,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Sc,Nursing,"240,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Sc,Physiotherapy,"210,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Sc,Cardiac Care Technology,"175,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Sc,Medical Imaging Technology,"150,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Sc,Medical Laboratory Technology,"90,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,B.Sc,Pharmacy,"225,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,MBBS,MBBS,"2,800,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,BDS,BDS,"390,000",,"1,15,000/year"
SRM University (KTR Campus),Chennai,Tamil Nadu,Pharm.D,Doctor of Pharmacy (Pharm.D),"500,000",,"1,15,000/year"
Srinivas University,Mangalore,Karnataka,BHM,Hotel Management & Catering Technology,"339,500",Total 4-year fee,"42,000/year"
Srinivas University,Mangalore,Karnataka,BHM,Hotel Management,"209,000",Total 3-year,"42,000/year"
Srinivas University,Mangalore,Karnataka,BHM,Hotel Management (with Aviation & Tourism),"379,000",,"42,000/year"
Srinivas University,Mangalore,Karnataka,BBA,Business Administration,"149,000",,"42,000/year"
Srinivas University,Mangalore,Karnataka,B.Com,Commerce,"149,000",,"42,000/year"
Srinivas University,Mangalore,Karnataka,BA,Journalism & Mass Communication,"149,000",,"42,000/year"
Srinivas University,Mangalore,Karnataka,BCA,Software Development & Web Design,"229,000",,"42,000/year"
Srinivas University,Mangalore,Karnataka,BBA,Hospital Administration,"259,000",,"42,000/year"
Srinivas University,Mangalore,Karnataka,BBA,Aviation,"444,000",,"42,000/year"
Srinivas University,Mangalore,Karnataka,BBA,Logistics Management,"444,000",,"42,000/year"
Srinivas University,Mangalore,Karnataka,BCA,Artificial Intelligence,"459,000",,"42,000/year"
Srinivas University,Mangalore,Karnataka,BBA,Artificial Intelligence,"449,000",,"42,000/year"
Srinivas University,Mangalore,Karnataka,BBA,Data Science,"449,000",,"42,000/year"
Srinivas University,Mangalore,Karnataka,BBA,E-Commerce,"449,000",,"42,000/year"
Srinivas University,Mangalore,Karnataka,B.Com,ACCA,"419,000",,"42,000/year"
Srinivas University,Mangalore,Karnataka,B.Sc,Occupational Therapy,"859,500",,"42,000/year"
Srinivas University,Mangalore,Karnataka,MCA,Networking & SD,"278,500",,"42,000/year"
Srinivas University,Mangalore,Karnataka,MCA,Data Science,"278,500",,"42,000/year"
Srinivas University,Mangalore,Karnataka,MCA,Cloud Computing with IOT,"278,500",,"42,000/year"
Srinivas University,Mangalore,Karnataka,B.Tech,Computer Science,"874,500",Total 4-year,"42,000/year"
Srinivas University,Mangalore,Karnataka,B.Tech,Artificial Intelligence & Machine Learning,"874,500",Total 4-year,"42,000/year"
Srinivas University,Mangalore,Karnataka,B.Tech,Cyber Security,"874,500",Total 4-year,"42,000/year"
Srinivas University,Mangalore,Karnataka,B.Tech,Mechanical Engineering,"569,500",,"42,000/year"
Srinivas University,Mangalore,Karnataka,B.Tech,Electronics & Communication Engineering,"569,500",,"42,000/year"
Srinivas University,Mangalore,Karnataka,B.Tech,Marine Engineering,"1,019,500",,"42,000/year"
Srinivas University,Mangalore,Karnataka,M.Tech,Computer Science,"173,500",,"42,000/year"
Srinivas University,Mangalore,Karnataka,M.Tech,Digital Electronics,"173,500",,"42,000/year"
Srinivas University,Mangalore,Karnataka,B.Sc,Cardiovascular Technology,"929,000",,"42,000/year"
Srinivas University,Mangalore,Karnataka,B.Sc,Cardiac Care Technology,"709,000",,"42,000/year"
Srinivas University,Mangalore,Karnataka,B.Sc,Operation Theatre & Anesthesia Technology,"629,000",,"42,000/year"
Srinivas University,Mangalore,Karnataka,B.Sc,Medical Imaging Technology,"629,000",,"42,000/year"
Srinivas University,Mangalore,Karnataka,B.Sc,Nursing,"1,004,500",,"42,000/year"
Srinivas University,Mangalore,Karnataka,MPT,Allied Health Sciences,"278,500",,"42,000/year"
Srinivas University,Mangalore,Karnataka,B.Tech,Computer Science Engineering,"874,500",,"42,000/year"
Srinivas University,Mangalore,Karnataka,B.Tech,Artificial Intelligence & Machine Learning,"874,500",,"42,000/year"
Srinivas University,Mangalore,Karnataka,B.Tech,Artificial Intelligence & Data Science,"874,500",,"42,000/year"
Srinivas University,Mangalore,Karnataka,B.Tech,Electronics & Communication Engineering,"569,500",,"42,000/year"
Srinivas University,Mangalore,Karnataka,B.Tech,Mechanical Engineering,"569,500",,"42,000/year"
Srinivas University,Mangalore,Karnataka,B.Tech,Aeronautical Engineering,"569,500",,"42,000/year"
Srinivas University,Mangalore,Karnataka,B.Arch,Architecture,"640,000",,"42,000/year"
Srinivas University,Mangalore,Karnataka,BCA,Artificial Intelligence & Machine Learning,"295,000",,"42,000/year"
Srinivas University,Mangalore,Karnataka,BCA,Artificial Intelligence & Data Science,"330,000",,"42,000/year"
Srinivas University,Mangalore,Karnataka,BBA,Aviation & Logistics Management,"295,000",,"42,000/year"
Srinivas University,Mangalore,Karnataka,MBA,Business Administration ,"350,000",,"42,000/year"
East Point Group of Institutions,Bengaluru,Karnataka,B.E,Computer Science Engineering,"1,425,000",Total 4-year,"1,10,000/year"
East Point Group of Institutions,Bengaluru,Karnataka,B.E,Artificial Intelligence & Machine Learning,"1,425,000",Total 4-year,"1,10,000/year"
East Point Group of Institutions,Bengaluru,Karnataka,B.E,Data Science,"1,425,000",Total 4-year,"1,10,000/year"
East Point Group of Institutions,Bengaluru,Karnataka,B.E,Computer Science Engineering - IoT & Cyber Security,"1,375,000",,"1,10,000/year"
East Point Group of Institutions,Bengaluru,Karnataka,B.E,Information Science & Engineering,"1,225,000",,"1,10,000/year"
East Point Group of Institutions,Bengaluru,Karnataka,B.E,Electronics & Communication,"1,005,000",,"1,10,000/year"
East Point Group of Institutions,Bengaluru,Karnataka,B.E,Civil Engineering Engineering,"650,000",,"1,10,000/year"
East Point Group of Institutions,Bengaluru,Karnataka,M.Tech,Construction Technology,"200,000",,"1,10,000/year"
East Point Group of Institutions,Bengaluru,Karnataka,M.Tech,Product Design,"200,000",,"1,10,000/year"
East Point Group of Institutions,Bengaluru,Karnataka,BBA,Professional,"335,000",,"1,10,000/year"
East Point Group of Institutions,Bengaluru,Karnataka,BBA,Aviation Management,"340,000",,"1,10,000/year"
East Point Group of Institutions,Bengaluru,Karnataka,BCA,Professional,"340,000",,"1,10,000/year"
East Point Group of Institutions,Bengaluru,Karnataka,BCA,Artificial Intelligence,"370,000",,"1,10,000/year"
East Point Group of Institutions,Bengaluru,Karnataka,BCA,Data Science,"370,000",,"1,10,000/year"
East Point Group of Institutions,Bengaluru,Karnataka,B.Com,Professional,"280,000",,"1,10,000/year"
East Point Group of Institutions,Bengaluru,Karnataka,MBA,Business Administration,"510,000",,"1,10,000/year"
East Point Group of Institutions,Bengaluru,Karnataka,MCA,Computer Applications (General),"400,000",,"1,10,000/year"
East Point Group of Institutions,Bengaluru,Karnataka,B.Pharm,Pharmacy,"685,000",,"1,10,000/year"
